mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
56.25,55.75,103.35714285714286,415.07142857142856,0.5,259.2142857142857,-311.71428571428567,1,1,data_lab
58.375,47.875,233.69642857142858,230.98214285714286,10.5,232.33928571428572,2.7142857142857224,1,1,data_lab
47.125,56.625,225.83928571428572,239.69642857142858,-9.5,232.76785714285717,-13.857142857142861,0,1,data_lab
59.75,60.375,394.5,94.83928571428571,-0.625,244.66964285714286,299.6607142857143,1,0,data_lab
49.125,48.875,398.4107142857143,108.125,0.25,253.26785714285714,290.2857142857143,1,1,data_lab
46.0,45.75,92.85714285714286,411.64285714285717,0.25,252.25,-318.78571428571433,0,0,data_lab
49.875,60.125,218.41071428571428,236.41071428571428,-10.25,227.41071428571428,-18.0,1,0,data_lab
43.75,43.75,413.35714285714283,104.21428571428571,0.0,258.7857142857143,309.1428571428571,0,1,data_lab
50.375,50.0,405.69642857142856,106.0,0.375,255.84821428571428,299.69642857142856,1,1,data_lab
50.25,50.0,396.5,108.0,0.25,252.25,288.5,0,0,data_lab
42.75,42.625,415.35714285714283,91.98214285714286,0.125,253.66964285714283,323.375,1,1,data_lab
60.125,50.25,236.69642857142858,228.5,9.875,232.59821428571428,8.196428571428584,1,1,data_lab
57.25,57.375,394.7857142857143,96.83928571428571,-0.125,245.8125,297.94642857142856,1,0,data_lab
53.25,53.375,106.78571428571429,409.98214285714283,-0.125,258.38392857142856,-303.19642857142856,0,1,data_lab
58.125,58.0,381.55357142857144,105.71428571428571,0.125,243.63392857142858,275.8392857142857,0,0,data_lab
43.375,53.125,233.41071428571428,218.69642857142858,-9.75,226.05357142857144,14.714285714285694,0,1,data_lab
41.0,40.625,385.14285714285717,109.69642857142857,0.375,247.41964285714286,275.4464285714286,0,0,data_lab
58.75,58.875,391.35714285714283,101.55357142857143,-0.125,246.45535714285714,289.8035714285714,1,0,data_lab
40.875,40.875,414.125,96.69642857142857,0.0,255.41071428571428,317.42857142857144,0,1,data_lab
44.0,44.25,98.0,382.2142857142857,-0.25,240.10714285714286,-284.2142857142857,0,1,data_lab
55.25,45.125,212.21428571428572,221.83928571428572,10.125,217.02678571428572,-9.625,1,1,data_lab
48.25,48.125,401.92857142857144,102.69642857142857,0.125,252.3125,299.2321428571429,1,1,data_lab
49.25,49.125,405.92857142857144,103.55357142857143,0.125,254.74107142857144,302.375,1,1,data_lab
53.375,43.375,235.69642857142858,234.83928571428572,10.0,235.26785714285717,0.8571428571428612,1,1,data_lab
53.25,52.625,400.5,95.98214285714286,0.625,248.24107142857144,304.5178571428571,0,0,data_lab
53.25,53.125,91.35714285714286,417.8392857142857,0.125,254.59821428571428,-326.4821428571429,1,1,data_lab
57.625,48.0,211.41071428571428,217.42857142857142,9.625,214.41964285714283,-6.017857142857139,1,1,data_lab
55.125,54.75,391.26785714285717,97.35714285714286,0.375,244.3125,293.91071428571433,0,0,data_lab
53.25,52.625,405.64285714285717,104.26785714285714,0.625,254.95535714285717,301.375,0,0,data_lab
42.375,51.75,222.26785714285714,223.64285714285714,-9.375,222.95535714285714,-1.375,1,0,data_lab
40.375,50.0,235.125,237.14285714285714,-9.625,236.13392857142856,-2.017857142857139,0,1,data_lab
41.875,42.375,420.125,105.69642857142857,-0.5,262.9107142857143,314.42857142857144,0,1,data_lab
43.875,54.0,221.83928571428572,229.42857142857142,-10.125,225.63392857142856,-7.589285714285694,0,1,data_lab
53.125,53.125,381.8392857142857,96.98214285714286,0.0,239.41071428571428,284.8571428571429,0,1,data_lab
52.0,51.75,103.42857142857143,412.7857142857143,0.25,258.10714285714283,-309.35714285714283,0,0,data_lab
39.875,39.875,398.4107142857143,110.125,0.0,254.26785714285714,288.2857142857143,0,1,data_lab
43.125,43.25,106.69642857142857,400.7857142857143,-0.125,253.74107142857142,-294.0892857142857,0,1,data_lab
52.375,52.375,405.4107142857143,109.69642857142857,0.0,257.55357142857144,295.7142857142857,1,1,data_lab
50.875,51.125,106.125,417.55357142857144,-0.25,261.8392857142857,-311.42857142857144,1,0,data_lab
